anaoxygenic photosynthesis	A type of photosynthesis in green and purple bacteria in which oxygen is not produced
intrusion	Igneous rock that is inserted within or between geological strata rather than on the earth's surface.
anaphylactic shock	An acute, whole-body, life-threatening, allergic response.
prednisolone	Similar to prednisone in its high glucocorticoid activity
supercilium	an arched line over an ocellate spot.
gene flow	The movement of alleles from one population to another via migration and interbreeding of migrant individuals.
halophile	Organism which lives in areas of high salt concentration
mitosis	The normal process of nuclear division in a eukaryote, whereby nuclear division occurs on a spindle structure without reduction in the chromosome number in the daughter nuclei.
sulfhydryl group	A functional group consisting of a sulfur atom bonded to a hydrogen atom (-SH).
allosteric site	The specific site on the surface of an allosteric enzyme molecule to which the modulator or effector molecule is bound.
bowman's capsule	A cup-shaped receptacle in the vertebrate kidney that is the initial, expanded segment of the nephron where filtrate enters from the blood.
nucleic acid probe	A strand of nucleic acid which can be labeled and used to hybridize to a complementary molecule from a mixture of other nucleic acids
chaos theory	The study of iterative non-linear systems in which arbitrarily small variations in initial conditions become magnified over time
metazoa	Multicellular animals.
involucrate	= involute.
culicifuge	any preparation for driving away gnats or mosquitoes.
polynucleotide	A chain structure containing nucleotides linked together by phosphodiester (5'-3') bonds
biosorption	The sequestering of chemicals by a biological system.
freezing-point depression	The difference (sign ignored) between the freezing point of a solution and the freezing point of pure water
glucocorticoid	A steroid hormone secreted by the adrenal cortex that influences glucose metabolism and immune function.
cloning vector	A small DNA molecule, usually derived from a bacteriophage or plasmid, which is used to carry the fragment of DNA to be cloned into the recipient cell, and which enables the DNA fragment to be replicated.
rhyolite	Highly felsic igneous volcanic rock, typically light in color; rough volcanic equivalent of granite.
detrivore	Any organism which obtains most of its nutrients from the detritus in an ecosystem.
translation	The process in which the genetic information present in an mRNA molecule specifies the sequence of amino acids during protein synthesis.
operator	A region of DNA that interacts with a repressor protein to control the expression of a gene or group of genes.
heterotrophs	Animals — including herbivores, carnivores, and omnivores — that feed on other living organisms.
mycorrhizae	Symbiotic association between a fungus and the roots or rhizoids of a plant
redox potential	The affinity of a redox pair for electrons, generally measured as the voltage difference between an equimolar mixture of the pair and a standard reference
estrous cycle	The reproductive cycle of a female characterized by ovulation and acceptance of the male at regular intervals.
sepal	The outermost structures of a flower
precipitation	A reaction between antibody and soluble antigen resulting in a visible mass of antibody-antigen complexes.
saxitoxin	neurotoxin found in a variety of dinoflagellates
hydrophobicity*	Hydrophobicity is the association of non-polar groups or molecules in an aqueous environment which arises from the tendency of water to exclude non polar molecules
evaporative cooling	The property of a liquid whereby the surface becomes cooler during evaporation, owing to a loss of highly kinetic molecules to the gaseous state
tropical	is that faunal region which covers the southern part of the peninsula of Florida, the greater part of Central America, the lowlands of southern Mexico south of the table land, and a narrow strip on each side of Mexico which follows the coast northward into the United States.
phylogenetic tree	A branching diagram that represents a hypothesis about evolutionary relationships.
essentialism	The philosophical view that all members of a class of objects (such as a species) share certain invariant, unchanging properties that distinguish them from other classes.
character	A feature or trait.
halotolerant	An organism capable of growing in the presence of NaCl but not requiring it.
negative regulator	One molecule that controls the effects of another (or itself) by repressing or inactivating it.
umber	The codon UGA
desaturases	Enzymes that catalyze the introduction of double bonds into the hydrocarbon portion of fatty acids.
immobilized enzyme	An enzyme attached to a solid support over which substrate is passed and is converted into product.
exasperate -us	rough with irregular elevations.
coenzyme	A coenzyme is a dissociable, low-molecular weight, non-proteinaceous organic compound (often nucleotide) participating in enzymatic reactions as acceptor or donor of chemical groups or electrons.
ethanol precipitation	Precipitation of nucleic acid molecules by ethanol plus salt
reporter	In real-time PCR, a molecule whose fluorescence is proportional to the amount of amplified product in a sample.
peptide bond	a chemical bond linking two amino acid residues within a polypeptide; during protein synthesis, the peptide bond forms between two amino acids which are held side by side on the ribosome.
glycosidic bond	The bond between a sugar and an alcohol
grp-78	A protein chaperone that, along with HSP-70, can help regulate protein folding and degradation, as well as help balance calcium levels in cells.
extrachromosomal	External to the chromosome.
ultraviolet radiation	The part of the invivible electromagnetic spectrum (just below violet) with wavelengths between about 100-400 nm.
passive transport	Transport of a solute across a membrane down its concentration gradient or its electrochemical gradient, using only the energy stored in the gradient.
neuronal ceroid lipofuscinoses	A group of rare, inherited degenerative disorders of the nervous system; associated with the accumulation of an abnormal pigment in the brain called lipofuscin
s-cdk	Complex formed in vertebrate cells by an S-cyclin and the corresponding cyclin-dependent kinase (Cdk).
ion	an atom or small molecule which carries a positive or negative charge.
blood	A type of connective tissue with a fluid matrix called plasma in which blood cells are suspended
dominant	In genetics, refers to the member of a pair of alleles that is expressed in the phenotype of the organism while the other allele is not, even though both alleles are present
cinnabarine	[vermilion red].
homoeologous chromosomes	Chromosomes which are similar in that they carry most of the same loci but are not fully homologous since they are derived from different, though related, species.
oogenesis	The process in the ovary that results in the production of female gametes.
chromatid	One of the two sister products of a eukaryotic chromosome replication, marked by an attachment between the sister chromatids at the centromere region
cytoskeleton	A three-dimensional network of
long-term memory	The ability to hold, associate, and recall information over one's life.
morbidity	Incidence of disease in a population, including both fatal and nonfatal cases.
biocide	A compound that is toxic to living systems.
bidactylate	with two fingers or finger-like processes.
glia	Another term for neuroglia.
aerobe	An organism that utilizes oxygen for growth.
occlusor	applied to muscles which close an opening; e.g
confidence interval	A statistical range with a given probability associated with it
plaited	longitudinally folded or laid in pleats.
source of error	limitation in an experimental procedure that produces unreliable results.
fatty acid	A long carbon chain carboxylic acid
active sites	Specific regions of an enzyme that bind substrates on which the enzyme acts.
defined medium	A medium whose exact chemical composition is quantitatively known
transpirational water loss	Water loss across the integument of an animal that occurs without sweating or any other active mechanism of transporting water across the integument; passive water loss across the integument.
capacitor	Two conducting plates separated by an insulating layer
paint fungi	wood-inhabiting basidiomycetes with thin, spread out, indefinite basidiomata; many Corticiaceae and Thelephoraceae: Aphyllophorales.
amino acid	Organic molecule containing both an amino group and a carboxyl group
acutangulate	forming, or meeting in an acute angle.
gene copy number	see copy number.
hydrogenation	process in which hydrogen gas, in the presence of a metal catalyst, is added to a double bond and converts it to a single bond
temperature	property of matter that determines the direction of heat flow
inositol phospholipids	A lipid family characterized by phosphorylated inositol derivatives
taxon	The named taxonomic unit (e.g., Homo sapiens, Hominidae, or Mammalia) to which individuals, or sets of species, are assigned.
calcareous	kal-KARE-ee-uhs/ Containing, or composed of, calcium carbonate.
sugar	Any monosaccharide or disaccharide.
glycosidic bond	A type of covalent bond that links sugar units together in a polysaccharide.
arrhythmias	myocardial ischemia and myocardial infarction.
actinomycetes	Gram-positive bacteria that can for m branching filaments
ion	An atom or molecule with a positive or negative electrical charge
signature	An alternative term for motif or pattern.
detergent	An agent that reduces the surface tension of a liquid
peptide bond	Covalent bond that links adjacent amino acid residues in proteins; formed by a condensation reaction between the amino group of one amino acid and the carboxyl group of another with release of a water molecule
pangea	n
substrate	Substance on which an enzyme acts in biochemical reactions; or, in hybridisation arrays, the particular material onto which the biomolecules are deposited
replica plating	A technique for transferring an identical pattern of bacterial colonies from one petrie plate (the master plate) to a series of other plates containing different media
trisomic	A chromosomal condition in which a particular cell has an extra copy of one chromosome, instead of the normal two; the cell is said to be trisomic for that chromosome.
inflorescences	A group or cluster of flowers arranged on a stem that is composed of a main branch or a complicated arrangement of branches.
massively parallel computing	High-performance computing based on the development of parallel processing algorithms and applications that can be executed simultaneously by many separate processors.
vitamin	organic molecule with a wide range of physiological functions
complex ii	One of the electron transport chain proteins
perennial	A flowering plant that lives for many years.
light reactions	The reactions of photosynthesis that require light and cannot occur in the dark; also known as the light-dependent reactions.
dehydrogenase	/də-high-DRAW-jən-aze, dee-/ n
secondary metabolite	A product excreted by a microorganism near the end of the growth phase or during stationary phase.
axon	Long nerve cell process that is capable of rapidly conducting nerve impulses over long distances so as to deliver signals to other cells.
macrophage	Literally a “big eater”
ylid	A compound in which adjacent, covalently-bonded atoms, both having an electronic octet, have opposite charges.
xic	see X-inactivation center
polysaccharide	Linear or branched polymer of monosaccharides
heat	A transfer of thermal energy.
tri-undulate	with three waves or undulations.
wild-type	Normal, nonmutant form of an organism; the form found in nature (in the wild).
spatulate	rounded and broad at top, attenuate at base.
traits	Physical characteristics.
protoplasm	A general term referring to the entire contents of a living cell.
anaerogenic	Non-gas-producing.
trisomy 8	Presence of three copies of chromosome 8; in humans, results in mental retardation, contracted fingers and toes, low-set malformed ears, and a prominent forehead.
canidae	KAN-uh-DEE/ The mammalian family that contains dogs and other doglike animals.
ppar-gamma	Proteins that inhibit the expression of genes that code for proteins involved in inflammation.
facultative aerobe	An organism that can use molecular oxygen in its metabolism but that also can live anaerobically.
metabolism	The process of cells burning food to produce energy
mass selection	Selection based on individuals (their own phenotypic performance).
ig superfamily	Large family of proteins that contain immunoglobulin domains or immunoglobulin-like domains
extein	A protein-splicing product formed after the excision of an intein.
cladogram	A diagram depicting patterns of shared characteristics among species.
chloroplasts	An organelle found only in plants and photosynthetic protists that absorbs sunlight and uses it to drive the synthesis of organic compounds from carbon dioxide and water.
ichthyologist	Biologists who specialize in the study of fish behavior, anatomy, physiology, and evolution.
iris-pigment	= iris tapetum.
reproductive effort	The proportion of energy or materials that an organism allocates to reproduction rather than to growth and maintenance.
transcribe	To undergo transcription
independent variable	A variable that influences the measure of a second characteristic (the dependent variable).
magnetic resonance imaging	An imaging technique that produces cross-sectional images for medical research
genomic epidemiology	The genome-wide study of the relation between genetic variation and disease.
psychrophile	An organism that grows optimally at low temperatures.
pathogenic	Organism which causes a disease within another organism.
3' end	The end of a nucleic acid that lacks a nucleotide bound at the 3' position of the terminal residue.
polar covalent bonds	a type of covalent bond between atoms that differ in electronegativity
segregrate	See segregration below.
isomers	molecules with the same chemical formula (same number and kinds of atoms), but with different structures and properties
glycoprotein	A protein containing a carbohydrate group.
early-onset hd	Another term for juvenile HD.
malaria	Potentially fatal human disease caused by the protozoan parasite Plasmodium, which is transmitted by the bite of an infected mosquito.
c.i.	See confidence interval.
hydrophobic	Describes a nonpolar molecule or part of a molecule that cannot form energetically favorable interactions with water molecules and therefore does not dissolve in water
hydrolysis	A chemical process that lyses, or splits, molecules by the addition of water; an essential process in digestion.
disease	Organisms suffer from disease when their normal function is impaired by some genetic disorder, or more often from the activity of a parasite or other organism living within them
genetic counseling	Educational process that attempts to help patients and family members deal with all aspects of a genetic condition.
radical prostatectomy	an operation to remove the entire prostate gland and seminal vesicles – see our paper: Radical Prostatectomy.
hermaphroditic	Possessing both male and female reproductive organs.
common garden	A place in which (usually conspecific) organisms, perhaps from different geographic populations, are reared together, enabling the investigator to ascribe variation among them to genetic rather than environmental differences
asymmetric carbon atom	A carbon atom bonded to four different atoms; also called chiral carbon atom
selective media	Growth media that only allow growth of mutant or recombinant cells with a particular phenotype grow
anion	A negatively charged ion.
dipole	A molecule having both positive and negative charges.
soil water potential-	Amount of work that must be done per unit quantity of pure water in order to transport reversibly and isothermically an infinitesimal quantity of water from a pool of pure water, at a specified elevation and at atmospheric pressure, to the soil water (at the point under consideration)
ami	Antibody-mediated immune response.
first filial generation	First generation of progeny produced from the mating of different purebreeding strains
efficiency of energy transformation	In any process that transforms high-grade energy from one form to another, the output of high-grade energy expressed as a ratio of the input of high-grade energy
frequency-dependent selection	A decline in the reproductive success of a morph resulting from the morph's phenotype becoming too common in a population; a cause of balanced polymorphism in populations.
mute	silent: without power to produce audible sound.
volcanic arc	n
controlled experiment	An experiment in which an experimental group is compared to a control group that varies only in the factor being tested.
acth	Abbreviation of adrenocorticotropic hormone.
life	The capability of performing various organismic functions such as metabolism, growth, and reproduction of genetic material.
dms	Dimethyl sulfate.
huntington study group	"A non-profit group of physicians and other health care providers from medical centers in the U.S., Canada, Europe and Australia, experienced in the care of Huntington patients and dedicated to clinical research of Huntington's disease."
k-selection	The concept that in certain (K-selected) populations, life history is centered around producing relatively few offspring that have a good chance of survival.
self-renewal	The ability of a self to divide continuously to produce more copies of itself.
bipedal	adj
immonology	The study of immunity and immune system.
transposition	The movement of a piece of DNA around the chromosome, usually through the function of a transposable element.
simplex	Autotetraploid possessing only one copy of a reference allele
coding region	The genomic sequence between start and stop codons.
acetyl	Chemical group derived from acetic acid
transcellular transport	Transport of solutes, such as nutrients, across an epithelium, by means of membrane transport proteins in the apical and basal faces of the epithelial cells.
cell cycle control system	A cyclically operating set of molecules in the cell that triggers and coordinates key events in the cell cycle.
fault	n
earth balls	the non-ostiolate basidiomata of the Sclerodermatales.
hemagglutination	Agglutination of red blood cells.
grain	(1) The texture of wood, produced by the kinds of xylem cells present
ultraviolet radiation	Electromagnetic radiation at wavelengths between about 4 and 400 nanometers, shorter than visible light but longer than X-rays
meroblastic cleavage	A type of cleavage in which there is incomplete division of yolk-rich egg, characteristic of avian development.
sampling error	Deviations from expected ratios due to chance occurrences when the number of events is small.
ventral	Situated toward the belly surface of an animal, or towards the underside of a wing or leaf.
mitogen-activated protein kinase	see MAP-kinase
primary structure	The level of protein structure referring to the specific sequence of amino acids.
conformer	A characterization of an animal in regard to environmental variables
polyphenic development	A developmental phenomenon in which one individual—or a set of genetically identical individuals—can assume two or more discrete, highly distinct body forms, induced by differences in the developmental environment
functional group	The specific atom or group of atoms that confers a particular chemical property on a biomolecule.
competitive immunoassay	An assay based on the competition of labeled antigen and unlabeled antigen (from the sample) for antibody binding sites.
beta-amyloid fibrils	A group primarily composed of proteins that lay flatly upon one another like sheets of paper
smooth muscle	Muscle that consists of small, spindle-shaped, uninucleate cells without striations
fluorescein	Fluorescent dye that fluoresces green when illuminated with blue light or ultraviolet light.
food chain	The pathway along which food is transferred from trophic level to trophic level, beginning with producers.
convection	The mass movement of warmed air or liquid to or from the surface of a body or object.
atropurpureus	dark purplish, nearly black [an admixture of mauve and black].
ribonuclease	A nuclease that catalyzes the hydrolysis of certain internucleotide linkages of RNA.
permissiveness	A type of relationship between hormones in which one hormone must be present to allow another hormone to exert its effect.
sclerophyllous	Hard, leathery, thick, and usually evergreen leaves
allosteric site	a site on the target, distinct from the active site, where binding events produce an effect on activity through a protein conformational change
meniscoidal	with one side concave the other convex, like a round segment from a hollow sphere.
endothermic	Referring to a chemical reaction that absorbs heat (i.e., has a positive change in enthalpy).
tachytelic	A relatively rapid evolutionary rate.
therapsids	An order of synapsid mammal-like reptiles, composed mainly of fairly large herbivorous and carnivorous forms, which were dominant reptilian stocks during the Permian and Triassic periods
maxime	very much or very large.
compass direction	North, south, east, west, or a combination of these; the direction of a movement or orientation as it could be described using a compass.
phagosome	A cellular inclusion formed by the engulfment of cells or tissue debris during phagocytosis.
cis dominance	Property of a sequence or a gene that exerts a dominant effect on a gene to which it is linked.
abdominal pain	Crampy abdominal pain that may be seen in amebic colitis; right upper quadrant pain in amebic abscess; severe duodenitis or jejunitis with Strongyloides organisms penetrating the mucosa; pain suggestive of gastric ulcer or appendicitis with anisakid larvae (penetration of gut wall).
paurometabolous	metamorphosis in which the changes of form are gradual and inconspicuous: e.g
lipases	Enzymes that catalyze the hydrolysis of triacylglycerols.
trifid	cleft into three parts or ends.
sensory receptor	A specialized structure that responds to specific stimuli from an animal's external or internal environment; transmits the information of an environmental stimulus to the animal's nervous system by converting stimulus energy to the electrochemical energy of action potentials.
entropy	A quantitative measure of disorder or randomness, symbolized by S.
actinomycete	Nontaxonomic term applied to a group of high G + C base composition, Gram-positive bacteria that have a superficial resemblance to fungi
mutagen	A chemical or physical agent that interacts with DNA and causes a mutation.
psychopathy	A condition characterized by the inability to connect to other people normally
reciprocal recombination	A precise exchange of genetic information like that expected for a simple cut, exchange, and rejoin mechanism
tempeh	an Oriental food made by fermenting soybeans with Rhizopus oligosporus.
concentration gradient	Technically, the difference in the concentration of a solute between two places divided by the distance separating those two places
cytology	The study of cellstheir structures, functions, components, and life histories.
theory of island biogeography	Predicts that larger, less isolated islands will contain more species than smaller, more isolated islands; that the number of species on any island reflects a balance between the rate at which new species colonize it and the rate at which populations of established species become extinct
ubiquitin	A small molecule that latches onto damaged or mutated proteins in the cell
regulatory gene	A gene that gives rise to a product involved in the regulation of the expression of another gene; for example, a gene coding for a repressor protein.
carcinogen	compound capable of causing cancer
srp	see signal-recognition particle
retrovirus	type of virus that contains RNA as its genetic information.
persistent	remaining constantly; always present.
rhizosphere	The region immediately adjacent to plant roots.
somatic cells	All body cells except the germ-line cells.
ostia	the slit-like openings of the heart.
non-functional dna	Segments of DNA with no known biological function or importance.
dentate-serrate	toothed, with the dentations themselves serrated on their edges.
lac	a mixture of resin, wax and other substances produced by certain scale insects as a protective covering.
respiratory quotient	The moles of CO2 produced by a cell expressed as a ratio of the moles of O2 simultaneously consumed
phosphogluconate pathway	Another name for the pentose phosphate pathway
gene repressor protein	A gene regulatory protein that prevents the initiation of transcription.
orbital	An orbital is the shape of the probability clouds that electrons are found in at a certain energy level or shell
monomer	One of the component units of a polymeric molecule.
polygenic character	A character whose variation is based wholly or in part on allelic variation at more than a few loci.
soluble protein	See globular protein.
clinical research	Research that involves administering drugs to patients in government-approved clinical trials.
herd immunity	Resistance of a group to a pathogen due to immunity of a large proportion of the group to that pathogen.
in situ	in its natural place or normal position.
adiscota	insects that develop into adults without forming imaginal discs; see discota.
extenuate	to make or to become weak, thin or slender.
pool therapy	A type of physiotherapy in which the individual does exercises while submerged in warm water
thermogenic tissue or process	In the context of thermal relations, a tissue or process that specifically increases production of heat when activated.
drug lead	Compound that has shown evidence of pharmacological activity on a drug target serving as a leading structure.
enzyme	A biological macromolecule that acts as a catalyst
bilayer	A double layer of oriented amphipathic lipid molecules, forming the basic structure of biological membranes
symbiosis	A long-term association of different species that provides mutual benefit.
ka	see affinity constant
absorption	Transport of the products of digestion from the intestinal tract into the blood.
retrotransposon	Type of transposable element in eukaryotic cells that possesses some characteristics of retroviruses and transposes through an RNA intermediate.
signal transduction	Relaying of a signal by conversion from one physical or chemical form to another
dha	Abbreviation for docosahexaenoic acid.
coral fungi	Hymenomycetes with highly branched, upright basidiomata, usually arising from the ground; some members of the family Clavariaceae (Aphyllophorales, Holobasidiomycetes).
hawk-dove game	This particular model pits a Hawk strategy (i.e., always try to injure your opponent and only withdraw from the contest if an injury is received) against a Dove strategy (i.e., always use a non-injurious display if the rival is another Dove and always withdraw if the rival is a Hawk).
agar	Complex polysaccharide derived from certain marine algae that is a gelling agent for solid or semisolid microbiological media
conduction	The direct transfer of thermal motion (heat) between molecules of objects in direct contact with each other.
dip	The angle that a bedding plane or fault makes with the horizontal when measured perpendicular to the strike of the bedding plane or fault.
sustainable development	The long-term prosperity of human societies and the ecosystems that support them.
polymorphic	Describing a protein for which amino acid sequence variants exist in a population of organisms, but the variations do not destroy the protein's function.
domain	A compact structural region within a protein with a distinct function.
activation energy	The amount of energy that reactants must absorb before a chemical reaction will start.
parabiosis	see symbiosis.
plc-β	see phospholipase C-β
nucleic acid	Any one of several polymers of nucleotides
catalytic converter	device installed in the exhaust stream of an engine to reduce emissions
piceous -eus	pitchy black.
ph	a number, usually between 0 and 14, that indicates the acidity of a solution
drug targeting	Drug targeting is a strategy aiming at the delivery of a compound to a particular tissue of the body.
vermian	worm-like.
glyoxylate cycle	A pathway that uses some of the enzymes of the TCA cycle and some enzymes whereby acetate can be converted into succinate and carbohydrates.
umbilicate	navel-shaped, or resembling a navel.
tnf	Tumor Necrosis Factor
aldehyde	Organic compound that contains the group
eutrophication	A process by which nutrients, particularly phosphorus and nitrogen, become highly concentrated in a body of water, leading to increased growth of organisms such as algae
dna footprinting	Technique used to determine which DNA sequences are bound by a protein.
centrifugate	sen-TRIF-yuh-guht/ A product of centrifugation.
euploid	Polyploid individual whose chromosome complement is comprised of a whole number of its basic chromosome set.
anticipation	A genetic phenomenon where a disease increases in severity in successive generations, and children can have a more severe form of a disease than their parents
action spectrum	A profile of the relative performance of different wavelengths of light.
zetta-	A prefix indicating 1021; a sextillion.
amoeboid	Having no definite shape to the cell, able to change shape.
plumate	like a feather.
ecology	The study of how organisms interact with their environment.
dopa	L-3,4-dihydroxyphenylalanine.
organ	Collection of tissues which performs a particular function or set of functions in an animal or plant's body
cornute -us	having horns or horn-like processes.
sense strand	The strand of DNA that has the same nucleotide sequence as the mRNA (except the DNA has T where the RNA has U residues)
electroporation	A technique to introduce recombinant DNA into cells by applying a brief a electrical pulse to a solution containing cells
epimers	Two stereoisomers differing in configuration at one asymmetric center, in a compound having two or more asymmetric ceuters.
enzyme–substrate affinity	The proclivity of an enzyme to form a complex with its substrate when the enzyme and substrate meet.
caprification	is that method or process through which the Smyrna figs are fertilized by Blastophaga throughthe medium of wild, inedible or "caprifigs."
new chemical entity	A compound capable of being patented.
inducible enzyme	An enzyme (or other protein) that is expressed only when “induced” by the presence of a molecule or condition that serves as an inducing agent
adenovirus	A group of non-enveloped icosahedral viruses
dilution	The process of making something weaker or less concentrated.
negative feedback	A primary mechanism of homeostasis, whereby a change in a physiological variable that is being monitored triggers a response that counteracts the initial fluctuation.
tundra	A biome at the extreme limits of plant growth
nucleus	A membrane-enclosed structure containing the genetic material (DNA) organized in chromosomes.
osculum	The main opening through which filtered water is discharged
de-orphaning receptors	Determining the ligands that bind orphan receptors.
condensation reaction	A reaction in which two molecules become covalently bonded to each other through the loss of a small molecule, usually water; also called a dehydration reaction.
jubate -us	fringed with long pendent hairs.
sea-floor spreading	n
nod-like receptor	One of a family of proteins that serve as pattern recognition receptors, in that they sense microbial motifs in the cell cytoplasm.
phase i clinical trial	The first in a series of studies that test the safety and efficacy of a new drug or treatment in human participants
cell-free system	Fractionated cell homogenate that retains a particular biological function of the intact cell, and in which biochemical reactions and cell processes can be more easily studied.
calibration graph	graph made by carefully measuring the absorbencies of several solutions of known concentration for the species being analyzed
basilar	of or pertaining to the base.
half-life	The half-life of a substance is the amount of times it takes for half of the original molecule to be chemically degraded or eliminated in some other way (for example, in the urine)
adrenal medulla	The inner portion of the adrenal gland
krebs cycle	The cyclic series of reactions in the mitochondrion in which pyruvate is degraded to carbon dioxide and hydrogen protons and electrons
osmoregulator	An animal whose body fluids have a different osmolarity than the environment, and that must either discharge excess water if it lives in a hypotonic environment or take in water if it inhabits a hypertonic environment.
prominent	raised or produced beyond the level or margin: standing out in relief by color or otherwise: conspicuous.
atrophy	A decrease in the mass of a tissue or organ by the loss of cells or of intracellular components of cells
equilibrium	A state of balance in which there is no net change.
r group	Shorthand for the side chain of an amino acid.
trichotomous	divided by threes.
radio-carbon dating	Method for determining the age of an organic substance by measuring the amount of the carbon isotope, carbon-14, remaining in the substance; useful for determining ages in the range of 500 to 70,000 years.
crustaceans	A large
virulent	A term describing a pathogen against which a plant has little specific defense.
eluate	The fluid that has passed through (eluted from) a chromatographic column.
aerobiology	the study of fungal (and other) propagules in the atmosphere
digestion	Enzymatic hydrolysis of major nutrients in the gastrointestinal system to yield their simpler components.
myoblast	a cell that produces muscular tissue.
post-replication repair	A DNA repair process which occurs after DNA replication.
lineage	Any continuous line of descent; any series of organisms connected by reproduction by parent of offspring.
light-dependent reactions	The reactions of the first stage of photosynthesis, in which light energy is captured by chlorophyll molecules and converted to chemical energy stored in ATP and NADPH molecules.
pyrenolichens	lichens in which the mycobiont produces perithecial or pseudothecial ascomata.
lipid	Organic molecule that is insoluble in water but tends to dissolve in nonpolar organic solvents
metamerism	Division of the body, or a major portion of the body, into a series of similar segments along the anterior-posterior axis
resonant frequency	In any elastic system, the frequency at which the system oscillates when left alone following activation by a pulse of energy; the natural frequency
concurrent	See cocurrent.
clade	A monophyletic taxon; a group of organisms which includes the most recent common ancestor of all of its members and all of the descendants of that most recent common ancestor
nat	Nucleic Acid Test
membrane channel	Transmembrane protein complex that allows inorganic ions or other small molecules to diffuse passively across the lipid bilayer.
nad+	A widely used coenzyme that participates in oxidation reactions by accepting two electrons from a donor molecule and one H+ from the solution
myopathy	Any disorder or disease of muscle tissue or muscles.
5' end	The end of a nucleic acid that lacks a nucleotide bound at the 5' position of the terminal residue.
adenovirus	A DNA-virus that replicates in the nucleus in an extra-chromosomal form.
cr	Abbreviation for creatine.
polarimeter	An instrument for determining the rotation of polarization of light as the light passes through a solution containing an optically-active substance.
movement corridor	A series of small clumps or a narrow strip of quality habitat (usable by organisms) that connects otherwise isolated patches of quality habitat.
sa node	The pacemaker of the heart, located in the wall of the right atrium
exothermic reaction	A chemical reaction that releases heat (that is, for which ΔH is negative).
monophyletic clade	Descendants from a single ancestral line.
defloration	/dehf-lə-RAY-shən/ n
isomerases	Enzymes that catalyze the transformation of compounds into their positional isomers.
inverted repeats	Identical copies of a sequence of double-stranded DNA repeated in inverse order.
polymerase chain reaetion	A repetitive procedure that results in a geometric amplification of a specific DNA sequence.
wavelength	For light or sound, or other wave, the distance between one crest of the wave to the next crest
aqueous solution	a solution in which water is the solvent
hydrolysis	the chemical decomposition of a compound by water, causing formation of a new compound.
gap junction	A type of intercellular junction in animal cells that allows the passage of material or current between cells.
sheath of penis	in Odonata, a median, hood-like piece between the hamules, under which the penis is folded when not in use.
compound	pure substance made up of two or more elements in a fixed, characteristic chemical combination
hamule -us	furnished with hooks, or bent like a hook.
bijugum	in two pairs.
hypersensitivity	An immune reaction, usually harmful to the animal, caused either by antigen-antibody reactions or cellular immune processes
cyanobacteria	Photosynthetic prokaryotes possessing chlorophyll a but not chlorophyll b
coenzyme a	A pantothenic acidcontaining coenzyme serving as an acyl group carrier in certain enzymatic reactions.
feedback inhibition	Inhibition by an end product of the biosynthetic pathway involved in its synthesis.
catabolism	Cellular processes whereby complex molecules are degraded to simpler ones and energy is released
climate change	Changes in intensity and distribution of solar radiation reaching Earth.s surface.
punnett square	Diagrammatic representation of the union of gametes in all possible combinations.
lower water concentrations	region to which net movement of water molecules occurs during osmosis.
ante-apical	just before the apex.
translucid	clear: transparent enough to be seen through.
macromolecule	A molecule having a molecular weight in the range of a few thousand to many millions.
industrial melanism	The increase in frequency of dark (melanic) pigmentation in insects as an adaptation to remain inconspicuous on surfaces darkened by soot from air pollution.
bacterial artificial chromosome	An artificial version of a bacterial chromosome that can carry inserts of 100,000 to 500,000 base pairs.
inversion	Type of mutation in which a segment of chromosome is inverted.
energy	the capacity to do work or supply heat
clintheriform	shaped like a plate
bivalent	Refers to a synapsed pair of homologous chromosomes.
macrophage	A cell characterized by prominent lysosomes and the ability to phagocytose foreign material
hydrophilic	Interacting effectively with water
steady state kinetics	The analysis of an enzyme reaction during the interval when the concentration of intermediates is steady.
iris	the circle which, in an ocellate spot surrounds the pupil.
single-cell protein	Protein derived from microbial cells for use as food or a food supplement.
zygote intrafallopian transfer	An assisted reproductive technology in which an ovum fertilized in vitro is placed in a woman's uterine tube.
odds ratio	A measure of relative risk that is usually estimated from case-control studies. 
electrophoresis	A technique that separates dissolved particles subjected to an electrical field according to their mobility
speciation	The evolutionary processes by which new kinds of organisms evolve from preexisting kinds or evolve from currently existing kinds.
intrusion	n
ketosis	A condition in which the concentration of ketone bodies in the blood or urine is unusually high.
stipitate	supported on a stalk or pedicle.
septum	Partition which divides up a larger region into smaller ones, such as in the central body cavity of some anthozoa.
ames test	A genetic test for the identification of carcinogens based upon their mutagenic activity initially developed by Bruce Ames
integrative levels of organization	The idea that matter is arrayed in orders of increasing complexity, and that at each level, there are emergent properties such that the higher level cannot be reduced to the lower.
teleology	The belief that natural events and objects have purposes and can be explained by their purposes.
proton	Positively charged subatomic particle that forms part of an atomic nucleus
autolysis	Spontaneous lysis.
adaptive evolution	The adjustment of an organism to its environment, or the process by which it enhances such fitness.
epimerases	Enzymes that catalyze the reversible interconversion of two epimers.
chemotherapy	The treatment of cancer using specific chemicals or drugs that are selectively destructive to malignant (cancerous) cells and tissues.
transmission electron microscope	A microscope that passes an electron beam through very thin sections; primarily used to study the internal ultrastructure of cells.
antibiotic	Any of a group of substances which has the ability to kill or weaken bacteria.
maceration	A process, such as chewing, that physically breaks down food into pieces.
