frequency modulation synthesis	See Wave Table Synthesis.
dictionary attack	A method whereby a malicious user tries to guess a password using words found in a dictionary
web page identifier	A Uniform Resource Identifier intended to be recognized by a user as representing the identity of a specific Web Page (resource).
webcast	To use the Internet to broadcast live or delayed audio and/or video transmissions, much like traditional television and radio broadcasts
conditional	Something "iffy"
nibble	Four bits, half a byte
parameter	See argument.
accessible member	A member that can be accessed by a given type
xslt	Acronym for eXtensible Stylesheet Language Transformation
msp	File extension
bofh	"Bastard Operator From Hell," a classic diary of the ultimate in outrageous system support widely posted on Usenet
adware	See "Ad-Ware".
trojan horse	A software program which pretends to do one thing but actually acts as a virus
value	Some form of data
drod	Deadly Rooms Of Death, a superb logic puzzle game (despite its name)
common associations list	a tool used to identify associations for a domain model – a list of common types of associations
web log	Also weblog or blog
p3p	Platform for Privacy Preferences
ion implatation	One way that the surface of a chip is transformed
server	In networking, a process that either advertises a service or just hangs around at a known location and waits for clients who need service to get in touch with it.
pst	File extension
emulator	A program which allows one type of computer to mimic another and thereby to run programs written for that other computer
x	File extension
capture	v
dvd	Digital video disc; a removable computer storage medium that has a larger capacity than a CD.
accessibility	The art of ensuring that, to as large an extent as possible, facilities (such as, for example, Web access) are available to people whether or not they have impairments of one sort or another.
modulo	The % operator.
html help	See CHM.
execute	To perform the actions specified in the program code.
mfc	Microsoft Foundation Classes
target file	The file or files created as a result of a program's installation procedure
integer_io	a predefined generic package exported by Ada.Text_IO, used to support input and output of text representing values of user-defined integer types.
favourites	See Bookmarks.
database management system	see DBMS
electronic component	a part of the printed circuit board, such as resistor, capacitor, transistor, etc.
directory	A special file that contains other files
uddi	Universal Description, Discovery and Integration
anti-aliasing	Pixels on CRT screens are square and result in jagged edges where colors meet
module	Program, or part of a program.
operators and precedence	Top to bottom:
development kit	Microsoft KnowledgeBase article 824684 includes the following definition of this term as used by Microsoft: "A development kit is software that is designed to help developers to write new programs
mdi	Multiple Document Interface
k56flex	See V.90.
dao	(Microsoft) Data Access Object
inactive record / document	A record/document that has business value but is not readily used that should be transferred and retained in less expensive or accessible space and media based on established retention, transfer, and disposition schedules.
edge connector	a connector on the circuit-substrate edge in the form of plated pads or lines of coated holes used to connect other circuit board or electronic device.
s-video	A type of video signal output by some video boards, suitable for input to televisions
locator	The reference to an anchor
ict	Information and Communication Technology
giga	1,073,741,824 (1024 x 1024 x 1024, 2 to the thirtieth power).
oem	Original Equipment Manufacturer
directmusic	That part of DirectX which handles the playing of music files.
usb	Universal Serial Bus - see that entry.
webcrawler	Another Web search engine, somewhat old: http://www.webcrawler.com.
application	Software that carries out a task that would be necessary in the absence of computers (e.g
dither	To create an otherwise unobtainable colour by creating a pattern of dots of two or more colours which can be created (dithering in space)
composition	a form of aggregation where the ‘part’ is part of only one ‘whole’, and its existence and location and other features are tied to the whole
rexx and regina	Rexx is a very obscure programming language, designed to teach programming to beginners
shareware	See "Register".
field	Computer-allocated space for data input.
ac power	Power that comes from an electrical outlet in the wall or power strip.
disco	File extension
cts	See RTS/CTS.
decompress	To convert compressed, unreadable data into uncompressed, readable data.
i/o addresses	Input/Output Addresses
pap	Password Authentication Protocol
meta tag	HTML tags that can be specified within an HTML document and that are not displayed to the end user, but which may contain information about the document
input	Information sent to and received by your computer.
iteration	Doing something repeatedly.
ocr	Optical Character Recognition
signaling types	The sending device and the receiving device must send signals in order to synchronize their clocks and determine where one block of data ends and the next begins
unknown network	Unknown networks are those networks that are neither trusted nor untrusted
bitmapped font	Same as raster font - see that entry.
synchronous transmission	A transmission mode in which the data moves in large blocks, called messages or frames
dtmf	Dual-Tone Multifrequency
move	a predefined procedure exported by Ada.Strings.Fixed, used to copy and truncate or pad strings.
pagerank	See Enterprise PageRank.
base	The electrode of a transistor which controls the movements of electrons or holes by means of an electric field on it
dash	- (see that entry).
ndis	See network device interface specification.
iso	An international group of national standards bodies.
mpeg-1	MPEG-1 is used for digital video at low compression rate
parent object	If object A contains a property B, where property B is also an object, then A is the parent object to B.
irc	Internet Relay Chat
single quote	Also called an apostrophe: ' .
a/s/l	A coded question frequently used in teenage chats
der	Distinguished Encoding Rules
zombie	A process that has died (exited) but whose parent has not yet received proper notification of its demise by virtue of having called wait or waitpid
wireless lan	See "Wireless Network".
msvbvm50.dll and msvbvm60.dll	See "Visual BASIC Runtime Library Files".
rgb	RGB color stands for "Red Green Blue" (see color) and is an additive color mechanism
comment	A remark that doesn't affect the meaning of the program
re:	Reply
value	Value or brightness is achieved by adding white or black to the basic color hue
method	A kind of action that an object can take if you tell it to
ifo	File extension
tweening	In the early days of animation the senior animation designer would draw the major frames where changes would take place
ageia physx	A physics calculations co-processor hardware add-on
multimedia	Any computer program that uses one or more of the following: text, graphics, sound, and video.
cddb	A database of audio CD's, listing artist names, album names and track names, keyed by each CD's serial number
generator	The generator is the backbone of qooxdoo's build process
b2c	Business to Consumer
z buffering	A term associated with 3D graphics, I think.
brb	Chat shorthand for "be right back".
riaa	Recording Industry Association of America
rs-232	A set of EIA standards specifying various electrical and mechanical characteristics for interfaces between DTE and DCE data communications devices
iv	The integer four, not to be confused with six, Tom's favorite editor
check digit	An extra calculated digit added to the end of a code number
window	A distinct rectangular region on the screen, usually with borders and a top bar that allows to drag it around
dcom	Acronym for Distributed Component Object Model
case statement	A selection statement allowing one of several groups of statements to be executed depending on the data being processed.
fragmentation	The act of dividing up one or more authored units to create a set of perceivable units appropriate for a particular delivery context
reaping	The last rites performed by a parent process on behalf of a deceased child process so that it doesn't remain a zombie
newspaper columns	A facility provided in some word processing programs, which allows text to be laid out in vertical columns
lvalue modifier	An adjectival pseudofunction that warps the meaning of an lvalue in some declarative fashion
spoof	An attack wherein the attacker conceals his identity by appearing as another user through the falsification of data, such as email headers.
synchronous optical network	See SONET
glossary	A collection of words with their meanings
filtering	One type of filtering transmits a selected range of energy to suppress unwanted frequencies or noise
connector	Microsoft KnowledgeBase article 824684 includes the following definition of this term as used by Microsoft: "A connector is a software component that is designed to support connections between software."
.htaccess	A file that resides in a specific directory, and contains configuration information applying to that directory
cdfs	In Windows, the file system driver for CD-ROM drives.
compilation	The act of translation performed by a compiler.
assign	Refer a value to a variable name.
jet	"Jet"
regworm	Registration Worm
boolean	An element of logic: true, false, and (&&), or (||).
postnuke	A CMS (Content Management System).
ttl	TTL is an acronym for “Time To Live”
shttp	Secure Hypertext Transfer Protocol
domain forwarding	A technique that allows you or your users to automatically send visitors to a domain when they access another domain
usenet	See News.
iterator	A special programming gizmo that keeps track of where you are in something that you're trying to iterate over
standard input	The default input stream for your program, which if possible shouldn't care where its data is coming from
xla	File extension
circuit board	Same as printed circuit board
dbms	Database Management System
prb:	Microsoft KnowledgeBase article title prefix for articles relating to problems which have not yet been resolved.
qualified	Possessing a complete name
sata	Serial ATA
pass	The number of times that the source text has to be scanned or rescanned in order to compile the program
blue-screen video	The combination of a human actor on top of a computer generated background, as in some graphical adventure games
burton	Codename for Microsoft Visual Studio Team System 2005
exceptions classes	Following is the class hierarchy of Exception class:
hypertext	Text linked together in a complex, nonsequential web of associations in which the user can browse through related topics
bmp	Bit Map unique format for Windows electronic graphics files.
class	a container for objects
dvd	Digital Versatile Disk
expression	A combination of symbols that returns a value when executed.
iteration	One sweep through a program loop.
call	A single session in which a calling device and an answering device connect over the WAN.
string context	The situation in which an expression is expected by its surroundings (the code calling it) to return a string
x2	See V.90.
mirc	An IRC program (see that entry).
stylus	A kind of mouse that looks like a pen and draws on a special pad, which translates to the computer display.
audio interchange file format	See AIFF
lazarus	A free and open source IDE for creating console and graphical Pascal and Object Pascal applications
ncs	Network Configuration Services, an Intel software component.
default	A value chosen for you if you don't supply a value of your own.
utf-8	UTF-8 is an 8-bit character set specified by Unicode Technical Committee
pbbg	Persistent Browser-Based Game
smb	Server Message Block
view	refers to different ways of viewing an object, such as the classwide view or an extended view of a tagged object.
clicks and bricks	An informal name for the type of traditional company which now also dabbles in e-commerce as a sideline, often in a very amateurish manner.
chain letter	email that urges recipients to forward the message to other people; consequently wastes time and bandwidth
oobe	Out Of Box Experience
standard output	The default output stream for your program, which if possible shouldn't care where its data is going
freecell	A very challenging patience (solitaire) card game, involving considerable skill
chat	A form of real-time electronic communications where participants type what they want to say, and it is repeated on the screens of all other participants in the same chat
netiquette	Netiquette (Network Etiquette) is an informal code of manners which should govern your behaviour on the Internet
pic	File extension
command name	T he name of the program currently executing, as typed on the command line
sht	File extension
efs	Encrypted File System
scaleable font	A font which can be enlarged without any significant deterioration in its quality - curves will still appear as smooth curves and not as jagged steps
post	To submit a message to a news group
b2b	Business to Business
cfm	File extension
cardinal	In Delphi™, the basic unsigned integer type.
secondary cache	See "Cache".
page impression	Whereas a web page with numerous graphics images would record numerous hits when visited, it should (in theory) only record one page impression.
freeware	Historically, any software that you give away, particularly if you make the source code available as well
literal	A token in a programming language such as a number or string that gives you an actual value instead of merely representing possible values as a variable does.
condition branch	A condition branch is one or more conditions terminated by two terminal nodes
global variable	A variable that can be used anywhere in a program.
lexical scoping	Looking at your Oxford English Dictionary through a microscope
loop	A section of program code that is executed over and over in repetition, until some condition changes.
ddp	Datagram Delivery Protocol
flash memory	A faster form of EPROM that permits more erase/write cycles
options	See either switches or regular expression modifiers.
association	A connection between a file extension (file type) and a program, so that opening a file with that extension will cause the specified program to run and open the file automatically.
null	Represents a null reference
member variables	Typed memory locations used to store values
ids	Intruder Detection System
p2p	Peer to Peer
network news transport protocol	See NNTP
paging	A technique for virtual memory implementation
die	1
declaration	code that creates an association between an identifier or operator symbol and some entity
mb	megabytes
procedure	A subroutine.
captcha	CAPTCHA: Telling Humans and Computers Apart Automatically A CAPTCHA is a program that protects websites against bots by generating and grading tests that humans can pass but current computer programs cannot
home directory	A cPanel account's highest-level directory, which contains all the files and directories used by websites managed by your account
rollover image	A rollover image is used in the context of navigation where an image button, that serves as a link elsewhere, changes into a different image because of some or other associated pointer behaviour (e.g
active component	1
flame	A rude or over-strongly worded opinion posted to a news group (etc)
fcl	Refer to Framework Class Library.
cms	See content management system.
api	application programming interface
jar file	(Java ARchive) A compressed file that contains compiled Java code and other files such as XML files.
open standard	A publicly available set of specifications describing the characteristics of a hardware device or software program
artificial intelligence markup language	Artificial Intelligence Markup Language
environment	The collective set of environment variables your process inherits from its parent
case statement	a compound statement with a multi-way selection.
synchronous	Programming in which the orderly sequence of events can be determined; that is, when things happen one after the other, not at the same time.
s4u2proxy extension	The S4U2proxy (Service-for-User-to-Proxy) extension completes the constrained delegation process
statement modifier	A conditional or loop that you put after the statement instead of before, if you know what we mean.
provider	A Provider can be anyone who provides healthcare to patients (ie
authentication	A process for confirming the identity of someone with whom you want to share information
deprecated	A term used to describe a feature which is no longer supported.
autogeneration	A feature of operator overloading of objects, whereby the behavior of certain operators can be reasonably deduced using more fundamental operators
computer systems validation	Confirmation by examination and provision of objective evidence that computer system specifications conform to user needs and intended uses, and that all requirements can be consistently fulfilled.
ascii text	A thoroughly unoffical subset of US-ASCII which contains the space character, numbers, most basic punctuation, and unaccented letters a-z and A-Z, but lacks the control codes .
pov	Point Of View
sas	Serial Attached SCSI
voip	Voice Over Internet Protocol, or Voice On Internet Protocol
v-string	A "version" or "vector" string specified with a v followed by a series of decimal integers in dot notation, for instance, v1.20.300.4000
chip	An integrated computer circuit containing many elements connected on a single unit.
ade	File extension
lapm	Link Access Procedure - Modems
codec	Coder/Decoder (or Compressor/Decompressor)
cdt	File extension
dvi-i	A DVI socket with both analogue and digital output.
midband	A 128kbps Internet connection system using an existing conventional phone line, proposed by BT as a possible solution for customers who are connected to a non-ADSL enabled exchange, or who live too far aware from an ADSL-enabled exchange for ADSL to work
navigation	An activity, based on a mechanism provided by an active perceivable unit, by which a user can alter their focus of attention
run-time	The period when a program is running/being executed/doing some hopefully useful work, as distinct from compile-time when the program is being translated.
exim	Mail server software, known for its configurable nature
collating sequence	The order into which characters sort
mdw	File extension
ebois	Sometimes spuriously listed as having failed to load in Bootlog.txt
web client	Software that provides web access to :
ntfs	New Technology Filing System
encoding scheme	Each language has an official encoding scheme which is used to represent all of the language's characters in an 8-bit data stream format
fla	File extension
mirage	See XMirage.
unified modeling language	UML is an industry-standard language for specifying, visualizing, building, and documenting the artifacts of software systems standardized by the Object Management Group
visual basic scripting edition	See BASIC.
isdn	ISDN stands for Integrated Services Digital Network
mpeg-3	MPEG-3 is used for digital video at low compression rate
bag	an unordered collection that allows duplicates
aspi	Advanced SCSI Programming Interface
terminology	A set of terms representing the system of concepts of a particular subject field.
ui	User interface (of a program).
condition	A comparative test between user-defined values and the actual values of a session request
parameter	In Pascal there are two types of parameters, 'Formal' and 'Actual'
return value	The value produced by a subroutine or expression when evaluated
atm	Asynchronous Transfer Mode
variable parameter	A parameter used in a procedure when the argument passed to it is an address of a variable (passing by reference)
wireless pbx	Equipment that allows employees or customers within a building or limited area to use wireless handsets connected to an office's private branch exchange system.
pls	File extension
ranged	A term often used in RPG's (role-playing games)
boolean search	A method of searching for information in databases that combines search terms with the operators AND, OR, NOT, and parentheses
ascii text file	A file with no internal formatting other than carriage returns
transliterate	To turn one string representation into another by mapping each character of the source string to its corresponding character in the result string
wireless application protocol	Wireless Application Protocol (WAP) is a protocol adopted as a standard by mobile device manufacturers for interacting with online services
make exe	Microsoft jargon for "compile" (see that entry).
regina	See "Rexx and Regina".
white book	See Book.
fp:	Microsoft KnowledgeBase article title prefix for articles relating to the Microsoft FrontPage HTML/web page editor program.
object	In object-oriented programming, a variable comprising both routines and data that is treated as a discrete entity.
store and forward	A method of handling transactions on a network
mpeg-4	MPEG-4 is used for integrated multimedia and a compression standard for long audio or video files with limited digital storage media (DSM) or low bandwidth availablity
pps	File extension
ubuntu	A version of the Linux operating system.
element	A basic building block
direct3d	One part of DirectX.
ibm	Schema
hoax	An apparently plausible email message which in fact is a work of fiction
all-in-one	A type of inkjet printer that can also act as a scanner, fax machine, and copier.
method	A term used in Visual BASIC programming to refer to any command, function or subroutine which changes a property of an object.
winfs	A new filing system, successor to NTFS, in which all of a computer's logical files are held in a single database physical file
smart card	Electronic device about the size of a credit card containing electronic memory, and/or an embedded integrated circuit (IC) or chip
hdml	Handheld Device Markup Language
allocation unit	See Cluster.
awstats	A program that provides information about the visitors to your website in both graphical and statistical views
asynchronous	Said of events or activities whose relative temporal ordering is indeterminate because too many things are going on at once
embedded processor	A computer chip that controls the function of its product
wga	Windows Genuine Advantage
crawl	To search a web site or server for documents and pages to index.
another markup language	Another Markup Language describes communication network models.
btw	Chat shorthand for "by the way".
gamma correction	In simple terms, an adjustment of the brightness of a graphic image, monitor, etc
device name	A disk drive letter or other device name, always terminated by a colon
source code	Software is written by developers in source code—a human-readable language like C# or Java
insertion point	The black flashing vertical line between two characters, which indicates where text will be inserted if you type
directinput	That part of DirectX which handles joystick input.
jpg	"Jay - peg"
value	the state of an object
toner	A powdery ink substance that comes in a cartridge; used by laser printers.
protracker	See MOD.
automation markup language	AML (Automation Markup Language) is the primary internal language used by AutoMate.
national televisions standards committee	See NTSC
generic unit	a template for other Ada program units; the template can be parameterized by objects, types, subprograms, and packages
mtu	Maximum Transmission Unit
data over voice	Sending digital data over telephone trunks conditioned for voice
superuser	The person whom the operating system will let do almost anything
trinary	Not a stellar system with three stars, but an operator taking three operands
type conversion	changing a value, variable or parameter from one type to another type (such as from a real number to an integer).
tcpa	Trusted Computing Platform Alliance
multiplicity	characteristic of a role
member data	See instance variable.
asml	An Abstract State Machine Language.
merge-scan	a ‘join method’ useful when both tables are pre-sorted on the join attributes
sus	(Microsoft) Software Update Services.
ttf	File extension
parentheses	Round brackets, ( and ).
acts	Ada Conformity Assessment Test Suite -- test suite used to validate Ada 95 systems
automated test equipment	equipment that automatically tests and analyzes functional parameters to evaluate performance of the tested electronic devices.
host	A computer on a network.
archive	1
subscript	A value that indicates the position of a particular arrayelement in an array.
surge protector	A special type of power strip that helps fight irregularities in the electrical supply that runs to your computer.
directplay	One part of DirectX
cdo	Collaboration Data Objects, or Collaborative Data Objects
distribution file	The file or files which contain the final compiled version of a program, and which need to be copied or downloaded in order to obtain the program
apm	Advanced Power Management
aa	Anti-Aliasing
nt	See Windows NT.
resx	File extension
resource	a component of a database (usually a table, view or attribute) on which privileges may be granted or revoked to or from users
swf	File extension
standard	Something which one group of people want to impose on another group of people.
transmission control protocol	See TCP
dithering	Dithering is the process by which a large number of colors are forced into a smaller color palette
system	the predefined package that (along with its children) defines various machine-dependent or configuration-dependent characteristics.
digital	A means of storing, transmitting, manipulating, or reproducing data, images and sounds by using groups of electronic bits represented by 1 and 0.
caching	Caching is the process where DNS servers or applications (such as your web browser) will story a copy of DNS records
character set	There are tens of thousands of characters used in human writing systems
kbps	Kilobits per second, as in a modem's transmission speed.
jumper	A tiny plastic square shaped device containing a metal contact, which can be pulled on and off two pins on a printed circuit board, so as to connect them together or not as desired
server	Refers to either the software or system providing information services on request to a client.
decomposition	The act of dividing up one or more authored units, or an aggregated authored unit, during creation of a set of perceivable units appropriate for a particular delivery context.
author / web author	A web author is a person who writes the markup (HTML) for web documents
tera	1,099,511,627,776 (1024 x 1024 x 1024 x 1024, 2 to the fortieth power).
file i/o	Common methods include:
root	The top-level directory of a disk
flops	Floating Point Operations Per Second
user	Whoever is visiting your Web page, and, therefore, "using" and interacting with your JavaScript program.
autonomous agent	An autonomous agent implies that it does not communicate directly with any other agent
tax fraud	The use of a victim's identity to file false taxes or claim false tax returns.
b2r	Back to Reality!
multimedia	Sound
surface mount	A method of attaching electronic components to a printed circuit board by soldering them directly to the surface of the board, rather than by connecting them to posts on the board or through holes in the board
unc	Universal naming convention
bcc	Blind Carbon Copy
creative commons	See CC.
parity	An error detection system
hash mark	The symbol #
fast ethernet	A 100-megabit-per-second standard for local area networks.
netbeui	NetBIOS Extended User Interface
vbx	File extension
polymorphism	having many forms (see static polymorphism and dynamic polymorphism).
syntax highlighting	Displaying text (especially source code) in different colours, fonts and styles according to the category of terms.
omr	Online Medical Record
x86	A 286, 386, 486 or Pentium processor
defect	A chemical or structural irregularity that degrades the product
self-assembly*	The ability of objects to assemble themselves into an orderly structure
raid	Redundant Array of Inexpensive Disks
patch	To fix by applying one, as it were
audio/video interleaved	One of several compression techniques (this one’s by Microsoft) for Internet video with sound.
virtual	Providing the appearance of something without the reality, as in: virtual memory is not real memory
cgi	Common Gateway Interface
method body	See method implementation.
cable modem	A device that enables a broadband connection to the Internet by using cable television infrastructure
facility	A general term for the transmission media and equipment in communications networks; i.e., the “pipes” that carry information signals
irq	Interrupt Request
nybble	Half a byte, equivalent to one hexadecimal digit, and worth four bits.
sdi	Single Document Interface
machine code	The form of a program which can be directly obeyed by a computer
hypermedia	Any nontextual element, such as animation, recorded sound, images, or video that links to other information.
baudot code	The Baudot code, used by early teleprinters, represents letters, numbers, and symbols in five-character binary codes, which includes shifts to increase the number of characters beyond 32.
msn explorer	Descriptions of this program seem to be generally very vague and somewhat contradictory, possibly because the program has changed over time
expression	Virtually any "phrase" of JavaScript code, such as an assignment, arithmetic, comparisons, and so on.
subvariable	A variable that is a property of an object.
interface	The services a piece of code promises to provide forever, in contrast to its implementation, which it should feel free to change whenever it likes.
compute with fruit	A colourful way of saying that someone uses an Apple computer.
firebird	See Firefox.
tcp/ip	Stands for "Transmission Control Protocol/Internet Protocol." The TCP part has to do with the verifying delivery of the packets
elf object	An intermediate ELF file that still contains unresolved references.
advanced research projects agency	See ARPA
sp	Service Pack
t2	A T-carrier that can handle 6.312 Mbps or 96 voice channels.
vendor invoice	Bill sent to company from vendor.
numeric context	The situation in which an expression is expected by its surroundings (the code calling it) to return a number
symbol	One or more characters representing an operator, value, constant, variable or subroutine.
index	To extract information from documents and create an index of terms found in the documents
ops	File extension
netscape	See Navigator.
raise statement	a simple statement that raises an exception.
man	Metropolitan Area Network
point-to-point protocol	See PPP
universal character set	See UCS
dcbs	Double-byte character set
a/d	Analog-to-Digital Converter
accessor methods	A method used to indirectly inspect or update an object's state (its instance variables).
private key	One of two keys in public key encryption
directsound	That part of DirectX which handles sound generation and output.
microsoft foundation classes	See Class.
element	A screen element is any widget on the computer screen
quick basic	See BASIC.
signature	see ‘Method Signature’.
pcb	Printed Circuit Board
stdio	See standard I/O.
simulation	A type of program which simulates a physical situation
vivo	In the descriptions of video boards, this means video in, video out
subdomain	A subdomain is anything that appears before your master domain in the URL, i.e
legacy system	A system (and the associated programs, processes, and procedures already in place) currently deployed and in use within an organization
uniform resource locator	That’s techie jargon for the address of a page
rmi	Remote Method Invocation
six sigma	Six Sigma is a highly structured program for improving business processes and represents the latest incarnation of the quality movement
tool	Microsoft KnowledgeBase article 824684 includes the following definition of this term as used by Microsoft: "A tool is a utility or a feature that helps to complete a task or a set of tasks."
sub-list	Some JISCMail lists are organised into families or groups within a subject area
net	The Internet top-level domain for Internet Service Providers and similar companies.
solution	A commercially available program
numeric variable	A variable that contains a numeric value, such as 5.
ring	See "Web Ring".
task	Tasks are the ordered collection of specific actions into a meaningful relationship
visual basic for applications	See BASIC.
score	In music the score contains the notes of a composition
host	The computer on which a program or other data resides.
information system	the procedures whereby information within an organization is managed
api	Application Program Interface
implementation	How a piece of code actually goes about doing its job
entry	a reserved word used in creating interfaces to task units and protected units.
adsl	Asynchronous Digital Subscriber Line
operation	a function or transformation that may be applied to objects in a class. 
statement	A simple statement is an expression followed by a semicolon
charset	Short for character set
cd-r	A CD recording system which only allows a disk to be written to once
video card	The circuitry that controls the image appearing on the monitor’s screen; also known as a graphics adapter.
true color	24-bit or 32-bit colour
udt	User Defined Type
raster font	Same as bitmapped font
declaration	An assertion that states something exists and perhaps describes what it's like, without giving any commitment as to how or where you'll use it
sgml	Acronym for Standard Graphics Markup Language
shared aggregation	An aggregation where the ‘part’ may belong to more than one ‘whole’
relational database	A database program in which two or more related files can be open at once.
qos	Quality of Service
non-proportional font	A font in which each character has the same width
physx	See "AGEIA PhysX".
abstraction	A term used in object oriented programming
feed reader	An RSS client program (see RSS)
class	a set of types that derive from a common root type, also called a derivation class
app	File extension
awk	Descriptive editing term--short for "awkward"
ddos	Distributed Denial Of Service
thg	Tom's Hardware Guide http://www.tomshardware.com - a web site which offers a large amount of extremely useful information on the subject of computer hardware
bho	Browser Helper Object
operator	One of the following symbols: =, +=, -=, *=, /=, or %=
sql adapter	An adapter that retrieves and adapts content from any JDBC-enabled data source.
status	The value returned to the parent process when one of its child processes dies
iso	International Organization for Standardization
connection	In telephony, the temporary electrical circuit between the caller's and the callee's phone
dynamic loader	A post linking tool typically used to dynamically resolve references at load time.
lcd	Liquid crystal diode; A type of computer monitor, also called a flat-panel monitor, that’s thin and uses relatively little electricity.
warning	A message printed to the STDERR stream to the effect that something might be wrong but isn't worth blowing up over
bridge	A device used at the data link layer that selectively copies packets between networks of the same type.
vredir	In Windows, the file system driver for network drives mapped by the Client for Microsoft Networks.
assignment	An operator whose assigned mission in life is to change the value of a variable.
mui	Multilingual User Interface
sys	"sizzz"
logging on	Slang for the process of connecting to a central computer network or service from a local computer (sometimes referred to as logging in)
nv	Short for Nevada, no part of which will ever be confused with civilization
sigada	Special Interest Group: Ada, a part of the professional society, Association for Computing Machinery (ACM).
binary	Having to do with numbers represented in base 2
super video cd	See "Video CD".
entry family	a set of entries in a task, all having the same name.
notebook	Another name for a laptop.
string literals	Ruby strings are simply sequences of 8-bit bytes and they are objects of class String.
wbk	File extension
focus of attention	The point in an active perceivable unit on which the user's attention is currently focused.
doping	A wafer fabrication process in which exposed areas of silicon are bombarded with chemical impurities to alter the way the silicon conducts electricity in those areas.
joint photographic experts group	See JPEG
freeware	Free software.
charity fraud	An individual or group that deliberately misrepresents its fundraising intentions or solicits charitable funds for phony causes
larp	Locus Address Resolution Protocol
clone	A wireless phone programmed with stolen or duplicated electronic serial and mobile identification numbers.
mosaic	A Web browser developed by Marc Andreessen, Eric Bina, and their colleagues at NCSA.
web document	Web document is a synonym of web page.
data structure	How your various pieces of data relate to each other and what shape they make when you put them all together, as in a rectangular table or a triangular-shaped tree.
pci	Peripheral Component Interconnect
vml	Vector Markup Language.
elementary_functions	child of Ada.Numerics, which provides mathematical facilities.
soho	A market that consists of individuals that work some of their time at home and some of their time in an office.
cnp	Card Not Present
dns	Acronym for Domain Name System
pad	Short for scratchpad.
universal real	an anonymous type used in evaluating universal real expressions
upnp	Universal Plug And Play
pro	As a suffix after the model number of an ATI video board, this indicates a board more powerful than the normal board
tariff	Documents filed by a regulated telephone company with a state public utility commission or the Federal Communications Commission
bookmark	A link from a service to an external, device-compatible data source that does not require processing through the Mobile Collaboration server.
rfid	Radio Frequency Identification
saturation	The saturation (or intensity, also called chroma) refers to how much of the same hue is present
cascading style sheets	Stylesheets are the hottest thing in web design since they were introduced a few years back
byte	A data unit of eight bits.
hsdpa	High-Speed Downlink Packet Access
annotation markup language	The combination of the structural skeleton and the DCS defines a virtual annotation markup language (AML)
magical variables	Special variables that have side effects when you access them or assign to them
analog signal	A type of signal that encodes data transmitted over wire or through the air, and is commonly represented as an oscillating wave
call	The act of telling JavaScript to execute a function.
username	The name by which a user is identified to a computer system or network
business rules markup language	XML Rule Interlingua for Agent Communication, based on Courteous/Ordinary Logic Programs.
managed resources	A resource that is part of an assembly.
right click	To click the right mouse button
lossy	A lossy file format or transmission protocol means that some data is lost but in a controlled fashion so as to undetectable
nvram	Non-volatile RAM (see that entry).
trilinear filtering	A term used in computer graphics
hit points	A system often used in RPG's (role-playing games) to record a character's state of health
anode	1
agriculture markup language	AGML (Agriculture Markup Language) will be used primarily for financial purposes
network file system	See NFS
hash code	Unique number generated to identify a module in an assembly
instance variable	An attribute of an object; data stored with the particular object rather than with the class as a whole.
subroutine	A named or otherwise accessible piece of program that can be invoked from elsewhere in the program in order to accomplish some sub-goal of the program
simple result format	A content format that contains abstract user interface elements such as text items, menus, forms, and tables.
per	Packing Encoding Rules
hypertext mark-up language	HTML is the language you’re here to learn
tower	A PC configuration that has essentially a full-sized desktop console standing on its side, usually on the floor; includes a lot of room for expansion.
ps	File extension
variable	A named storage location that can hold any of various kinds of value, as your program sees fit.
die	A single integrated circuit (or chip) cut from the wafer on which it was manufactured.
server side include	See SSI
tmp	"Temp"
serial overrun errors	My modem log file normally reports a number of serial overrun errors for each online session
translator	A computer program to convert instructions from one language to another
mca	Micro Channel Architecture
built-in	A function that is predefined in the language
lvaluable	Able to serve as an lvalue.
assembly	1
crawler	See spider.
debug	The irritating act of attempting to track down errors or design flaws in a program.
defining a method	Following is the general syntax to define a method in ruby
recursion	The art of defining something (at least partly) in terms of itself, which is a naughty no-no in dictionaries but often works out okay in computer programs if you're careful not to recurse forever, which is like an infinite loop with more spectacular failure modes.
priority	A value to indicate which order to try and use multiple MX records (lower = more priority) – if the first returnsa host that is unavailable, it tries the next one etc.
gof	Refer to Gang of Four.
imho	In my humble opinion.
gid	Group ID--in Unix, the numeric group ID that the operating system uses to identify you and members of your group.
direct color	When 256 or less colors are used to be rendered on a computer's screen, a Color map / color palette / indexed color is typically used, but when more colors need to be described such a palette becomes too large
delphi™	Object oriented Pascal developed by Borland.
stopping condition	In a recursive procedure or function, the necessary condition which causes it to exit rather than call itself again.
surf	The act of viewing Web pages
field	A data member of a class or struct that is accessed directly.
cached result	As part of its core technology, Google indexes all the content on a page, rather than just a portion of the content or just meta tags
tco	Total Cost Of Ownership
pnp	Plug and Play - see that entry.
shb	File extension
symbol font	A font which contains graphics characters instead of the usual letters, digits and punctuation marks
dla	See "Drive Letter Access".
baud rate	A nearly obsolete term for transmission rates synonymous in early, simple systems with bits per second
e-commerce	Electronic commerce
reboot	To restart your computer.
internet architecture board	See IAB
compilation unit	The file (or string, in the case of eval) that is currently being compiled.
bits	Background Intelligent Transfer Service
wsf	File extension
regular expressions	Syntax:
socket	An endpoint for network communication among multiple processes that works much like a telephone or a post office box
