cable	A molding design resembling intertwined rape.
traffic	Traffic refers to the amount of user activity on a particular web site.
soft-hammer technique	A percussion technique that involves the use of a hammer of bone, antler, or wood, rather than stone
wmv	Windows Media Video
attributed	It is the opinion of the person selling the item that it is from the person or factory it is attributed to, but it has not been proven.
mineralogy	the study of minerals
alabaster	A fine grained stone that is usually gray or white in color and is slightly translucent
gobelin	Name of a French tapestry and the Parisian factory which produced it.
skeletal construction	a method of construction in which the walls are supported at ground level by a steel frame consisting of vertical and horizontal members.
historical archaeology	A discipline within archaeology concerned with supplementing written history with archaeological research to create a more complete account of the past
autology	the attribute (of a word) of being self descriptive
clean-release cards	Clean release cards use multiple barrier coatings, along with kiss-cutting to enable easy, peelable coupons.
de-duping	The removal of duplicated data from a mailing list.
achaemenid dynasty	The Achaemenids were the ruling dynasty of Cyrus the Great and his family over the Persian Empire, from 550-330 BC, when it was conquered by Alexander the Great.
ppi	Pixels per inch.
align	To line up typeset or other graphic material as specified, using a base or vertical line as the reference point.
awl	a bone or stone tool tapered to a point and used to pierce holes, make incisions, or in basket weaving.
chintz	A glazed, printed cotton fabric.
hypsithermal period	The period about 4000 to 8000 years ago when the Earth was apparently several degrees warmer than it is now
mosque	an Islamic (Muslim) house of worship of two main types: the masjid, used for daily prayer by individuals or small groups; and the ja¯ mi' , used for large-scale congregational prayer on the Friday sabbath and on holidays.
isbn	International Standard Book Number, a number assigned to a published work
image setter	High resolution, large format device for producing film from electronically generated page layouts.
lateralization	The division of the human brain into two halves
benchmark	For excavation purposes, a permanent point at a known elevation that can be used to measure other elevations during excavation
insert	A printed piece that is inserted into a newspaper, magazine or other printed piece
proof correction marks	a standard set of signs and symbols used in copy preparation and to indicate corrections on proofs
equinox	One of the two points of intersection of the celestial equator and the ecliptic
letter paper	In North America, 81/2" X 11" sheets
run around	Type that is made to fit around a picture of art.
frame	1
kerning	Tightening the spacing between letters.
vhs	âVideo Home Systemâ A consumer video cassette format
usm	Un-Sharp Masking
camera-ready copy	Mechanicals, photographs and art fully prepared for reproduction according to the technical requirements of the printing process being used
petroglyph	A drawing that has been carved into rock.
black crushing	Loss of low light (shadow) detail caused by adjusting luminance information below the Black Level.
repeatability	Ability of a device, such as an imagesetter, to produce film or plates that yield images in register.
quem	Date before which something cannot have been constructed or deposited
constantinople	Constantinople is the old name for Istanbul, the great city located in what is now Turkey.
overrun	Surplus of copies printed.
quipu	The Inca word for an elaborate knotted string device used by the Inca and other peoples in Peru for record keeping
d2	Ampex 19 mm cassette tape format for composite digital video using the 4fsc method
over run	Surplus of copies printed.
cie	Commission Internationale de l'Eclairage - the International Commission of Color
redemption	The process of exchanging program currency for an award.
free sheet	Paper made from cooked wood fibers mixed with chemicals and washed free of impurities.
psychophysiology	the study of the physiological bases of psychological processes
compatibility testing	Testing whether software is compatible with other elements of a system with which it should operate; for example, browsers, operating systems, or hardware.
smyth sewn	One pattern of sewn binding.
be'er sheva	Be'er Sheva is a modern town in the Negev Desert of Israel, and also the name of a Chalcolithic settlement dated to the 4th millennium BC.
openexr	see EXR
finish size	Size of printed product after trimming, folding, etc
tiff	Tagged Image File Format
visible spectrum	the colors, visible to the human eye, that are produced when white light is dispersed by a prism.
hieroglyphs	Ancient writing system consisting of pictographic or ideographic symbols; used in Egypt, Mesoamerica, and elsewhere
close parenthesis	The character ) used at the end of a parenthetical expression
gathering	Operation of inserting the printed pages, sections or signatures of a book in the correct order for binding.
abu simbel	Abu Simbel is a temple built by Ramses II (Pharaoh of the 19th Dynasty of the New Kingdom, who ruled 1279-1213 BC) in Nubia, now the Sudan.
gsn	Gigabyte System Network is the highest bandwidth and lowest latency interconnect standard, providing full duplex 6400 Megabits per second (800 Megabytes per second) of flow-controlled data transmission
aneurysm	excessive enlargement of an artery
ultraviolet	That part of the electromagnetic spectrum between 5 - 400nm.
cameo	A dull coated paper, which is particularly useful in reproducing halftones and engravings.
region number	A number assigned by NOAA to a plage region or sunspot group if one of the following conditions exists: (1) the region is a group of at least sunspot classification C; (2) two or more separate optical reports confirm the presence of smaller spots; (3) the region produces a solar flare; (4) the region is clearly evident in H-alpha and exceeds 5 heliographic degrees in either latitude or longitude
wire	the wire mesh used at the wet end of the paper making process
worm	Known primarily as a virus, a worm is a computer program that can replicate itself
citadel	A fortress, or stronghold, in or near a fortified city
teosinte	(Aztec teocentli) A tall annual grass, native to Mexico and Central America, that is the closest relative of maize.
phonetic	Pertaining to the sounds of speech.
frequency marketing	Any sales or marketing strategy that rewards loyal customers for their repeat business.
aphelion	That point on the path of a Sun-orbiting object most distant from the center of the Sun
die	Device for cutting, scoring, stamping, embossing and debossing.
network panels	The new da Vinci control panels, so called because they are connected to the SGI host computer by Ethernet.
electroplating	Invented in the 1840s, a silver-plating process that was faster and less costly than Sheffield plating
mesoamerica	The region consisting of central and southern Mexico, Guatemala, Belize, El Salvador, and the western parts of Honduras and Nicaragua that was the focus of complex, hierarchical states at the time of Spanish contact.
chavín culture	The Chavín culture is the name of a cultural group in Peru, now thought to have been primarily a religious cult, dated from about 400-200 BC.
contract award	Acceptance of a final offer by issuing a purchase order or signing a legally binding contract formalizing the terms under which the goods or services are to be supplied.
blocking	When ink or coating causes printed sheets of paper in a pile to stick together, causing damage when they are separated
chicago jazz	imitation by white musicians of the New Orleans style of jazz
snood	Knitted or openwork net which encases the hair at the back of the head, worn with or without a hat
deep etching	The etching or removal of any unwanted areas of a plate to create more air or white space on the finished product.
equinox	A time when the sun crosses the plane of the equator, making the night and the day the same length all over the earth, occurring about March 21 and September 22.
leaf	One of a number of folds (each containing two pages) which comprises a book or manuscript.
positive	Film containing an image in which the dark and light values are the same as the original.
current finish date	The current estimate of the point in time at which an activity will be completed.
chain lines	(1) Widely spaced lines in laid paper
rustication	Masonry prepared in such a way that it gives a rough and rugged surface, cut in large blocks; often used at the base of a wall.
oblong	A term used to describe printed books, catalogs etc., that are bound on their shorter side; also referred to as album bound.
irda	An agreed upon standard that allows data to be transferred between devices using infrared light instead of cables.
cadmium yellow	A pigment made from cadmium sulfide and cadmium selenide.
hd 1.5	Sierra Real Time Disk Recorder for uncompressed Hi Definition and Dual Link Data storage
verismo	realism in opera
teosinte	(Aztec teocentli) A tall annual grass, native to Mexico and Central America, that is the closest relative of maize.
bolts	The edges of folded sheets of paper, which are trimmed off in the final stages of production.
hot linked	This term refers to a piece of text, graphic or picture that has been designed to act as a button on a web page
onion dome	A bulbous structure resembling an onion with a pointed tip, frequently topping church towers in Central and Eastern Europe
asc	1
cyan	A shade of blue used in the four-color process; it reflects blue and green and absorbs red.
antioch	Founded by Alexander the Great's general Seleucus around 300 BC, Antioch also was the seat of a Roman governor after 64 BC.
puna	(Spanish) High grassland plateaus in the Peruvian Andes.
face	Edge of a bound publication opposite the spine
b2b	Business-to-Business - the use of direct marketing in the promotion of goods and services from one business to another.
evolution	The process of change over time resulting from shifting conditions of the physical and cultural environments, involving mechanisms of mutation and natural selection
b.p.	Before Present; used in age determination instead of B.C
boomplaas cave	Boomplaas Cave (Tree Farm Cave) is located in the Swartberg Range of South Africa, near the southern most tip of the continent.
faq	Frequently-asked-questions.
casas grandes	Casas Grandes (or Paquimé) was a large, influential capital city of the Casas Grandes polity in the state of Chihuahua, northern Mexico
stem	the main vertical stroke making up a type character.
astrogeology	the study of geology of celestial bodies (e.g., planets, asteroids, comets)
coated	Paper that has a surface coating with clay and other substances that produces a smooth printing surface and improves reflectivity and ink holdout.
stylization	the distortion of a representational image to conform to certain artistic conventions or to emphasize particular qualities.
page proof	Proof of type and graphics as they will look on the finished page complete with elements such as headings and rules.
troposphere	The lowest layer of the Earth’s atmosphere, extending from the ground to the stratosphere at approximately 13 km of altitude.
effective funding rate	The actual rate at which customers earn points and rewards in a loyalty program
tone compression	Reduction in the tonal range from original scene to printed reproduction.
overrun / overs	Copies printed in excess of the specified quantity
casein	A milk byproduct used as an adhesive in making coated papers.
kilobyte	One thousand bytes or more accurately 2^10 = 1,024
novelty printing	Printing on products such as coasters, pencils, balloons, golf balls and ashtrays, known as advertising specialties or premiums.
out -take	A take of a scene which is not used for printing or the final edit.
unit cost	the cost of one item in a print run
atlantis	Atlantis is a fictional kingdom described by Plato in two of his dialogues, Timaeus and Critias.
key	tonic note, and the major or minor scale, on which a composition is based
ctp - computer-to-plate	A printing technology in which digital files are output directly to the printing to the plate
di	See Digital Intermediate
glassine	A strong transparent paper.
gilt bronze	A thin layer of gold applied on bronze
solvent	A component of the vehicle in printing inks that disperses the pigment and keeps the solid binder liquid enough for use in the printing process.
cost performance measurement baseline	Budget costs and measurable goals (particularly time and quantities) formulated for comparisons, analyses, and forecasts of future costs
cofferdam	Temporary enclosure built in a water course and pumped dry to permit work on a structure by separating the work from the water.
crescendo	becoming louder
fibula	A pin or brooch used in ancient times to attach or fasten male and female garments.
closure	The appropriate endpoint or transition to an alterative form of interaction.
logo	Assembly of type and art into a distinctive symbol unique to an organization, business, or product.
telecine	A device that scans images from motion picture film, usually in real time
lzw compression	A method of compacting TIFF files in image editors and other applications by using the Lempel-Ziv Welch compression algorithm, which is an optional compression scheme also offered by some digital cameras.
era	A major division of geological time, tens or hundreds of millions of years long, usually distinguished by significant changes in the plant and animal kingdoms; also used to denote later archaeological periods, such as the prehistoric era.
egalitarian	A term that refers to societies lacking clearly defined status differences between individuals, except for those due to sex, age, or skill
surprint	Taking an already printed matter and re-printing again on the same.
matrix	1
aaf	âAdvanced Authoring Formatâ
datum	a location from which all measurements on a site are made; a reference point tied to local survey maps.
spooler	A device by which a computer can store data and feed it gradually to an external device, such as a printer, which is operating more slowly than the computer.
ragged right	The term given to left-justified type that is uneven on the right.
sixteen sheet	a poster size measuring 120in x 80in (3050mm x 2030mm).
column rule	Thin vertical line that separates columns.
markup	Amount of money that one supplier adds to the price of goods or services secured for a customer from another supplier.
fascia	A board fixed to the rafter ends along the roof eaves.
cash-flow analysis	Establishment of the source and application of funds by time period, and the accumulated total cash flow for the project to measure actual versus budget costs.
molybdate orange	An ink pigment made from precipitating lead molybdate, lead sulfate and lead chromate.
perforating	Punching small holes or slits in a sheet of paper or cardboard to facilitate tearing along a desired line.
cultigen	A cultivated plant.
change control board	A formally constituted group of stakeholders responsible for reviewing and approving or rejecting proposed changes to the project baselines.
tree rings	Growth rings formed annually in a tree's trunk, which often reflect the conditions in which the tree grew
byzantium	Byzantium is the name of the state, culture and capital city of the eastern Roman empire, which outlived the Roman empire, from Roman times through the 15th century AD.
edl	âEdit Decision Listâ
gamma	A numerical way of representing the contrast of an image
three-knife trimmer	A trimming device with 3-knives, two parallel and one right angle, which trims three sides at once.
actual weight	The true weight of any volume of paper used to determine both purchase price and shipping costs.
frieze	the central level of the entablature, often decorated with classical motifs in carving or molding.
bashidang	Bashidang is an early walled settlement belonging to the Pengtoushan culture, dated between 5540 and 5100 BC near Wufu village in the Yangtse River basin, Hunan province in China.
computational linguistics	Study related to enabling computers to understand the meaning of text written by humans.
die stamping	Printing from lettering or other designs engraved into copper or steel
cost control	Controlling changes to the project budget.
ottoman	Upholstered bench or seat with no arms or back, named after the Turkish influence of the early 18th century.
auction with reserve	The seller reserves the right to accept or reject any and all bids, or to withdraw the lot at any time prior to the announcement of the completion of the sale
belkachi culture	The Belkachi culture is the named given to a Middle Neolithic culture in the northern Baikal region of Siberia, between 5000-3900 years before the present.
dominant	fifth note of the major or minor scale
tungsten lamps	Lamps that generate light when electric current is passed through a fine tungsten wire
plinth	Square or octagonal base of a chest or other column, solid to the floor
cut glass	Glass into which a pattern is ground with a rotating wheel made of stone, wood, or metal, together with an abrasive suspended in liquid.
mansard roof	A hip roof in which each face has two slopes, the lower one steeper than the upper.
mandible	The lower jaw.
micrology	the science of preparing and handling microscopic objects for study.
phenomenology	the study and science of phenomena as distinct from the science of actual existence or being; also a movement founded by Husserl which studies conscious experience without its metaphysical concerns
controlled vocabulary	See taxonomy.
french fold	Folder with printing on one side so that when folded once in each direction, the printing remains on the outside.
porcelain	A hard, translucent ceramic made by firing and glazing a fine clay
offset powder	Fine powder sprayed on freshly printed sheets to prevent transfer of wet ink as they accumulate in the delivery stack.
graphic arts film	Film whose emulsion yields high contrast images suitable for reproduction by a printing press, as compared to continuous-tone film
settlement system	the sites in a particular region during a particular period of time, and their social, economic, and political relationships.
portrait	An art design in which the height is greater than the width
matrix	the surrounding deposit in which archaeological finds are located.
bullet	A dot or similar marking to emphasize text.
critical activity	Any activity on a critical path, as most commonly determined using the critical path method.
wf	an abbreviation for 'wrong fount'
point	(1)Regarding paper, a unit of thickness equating 1/1000 inch
onion skin	A specific lightweight type (kind) of paper usually used in the past for air mail
refectory	a dining hall in a monastery or other similar institution.
dots-per-inch	The measure of resolution of digital devices such as scanners, monitors, laser printers, imagesetters and monitors as they relate to the printed page.
aliasing	A “staircase” or jagged effect that occurs when display resolution is too coarse to minimize the broken or crooked appearance of certain electronic design elements
brightness	Light-reflecting property of paper or pulp
synthetic papers	Any petroleum based waterproof papers with a high tensile strength.
digitizing	The act of taking analog video and converting it to digital form
film speed	Measure of light sensitivity of photographic film
armoire	A large, often ornate cabinet or wardrobe
relieving arch	A wide arch that encompasses two or more smaller arches.
rgb	Abbreviation for Red, Green, Blue
bd	Blu-Ray Disc
dry trap	To print over dry ink, as compared to wet trap.
ripple value	A grading adjustment, made in one scene, and applied to adjacent scenes
concertina fold	a method of folding in which each fold opens in the opposite direction to its neighbour, giving a concertina or pleated effect.
alley	The term for a random row of white space within a segment of a copy.
ban na di	Ban Na Di is a Copper Age settlement and cemetery in Thailand (1313-903 BC), including sixty burials.
right reading	Copy reading correctly (normally) from left to right.
thermoluminiscence	Dating method based on the fact that clay and a few other inorganic materials absorb small amounts of nuclear energy from natural radiation
total electron content	The number of electrons along a ray path between a transmitter and a receiver
photoengraving	Engraving done using photochemistry.
lead or leading	Space between lines of type expressed as the distance between baselines
monochrome	Having a single color, plus white
index paper	Light weight board paper for writing and easy erasure.
verso	A term given to the left-hand or even-numbered pages of a book.
historiology	the study of the writings and practices of historians
edition bind	Alternate term for Case bind.
burn	Exposing a printing plate to high intensity light or placing an image on a printing plate by light.
alfven wave	A transverse wave in magnetized plasma characterized by a change of direction of the magnetic field (rather than a change of intensity).
rule	A printing term for a straight line; usually produced with a roll of border tape.
issue date	Year, month or date on which a newsletter was mailed or released.
radiation belts	Regions of the magnetosphere roughly 1.2 to 6 Earth radii above the equator in which charged particles are stably trapped by closed geomagnetic field lines
flyer	An inexpensively produced circular used for promotional distribution.
hairline register	Printing registration located between the range of plus or minus one-half row of dots, the thinnest of standard rules.
bluffing	deceive with a pretence
fvs-1000 hd	Telecine made by Sony
rights	Conditions and terms of a licensing agreement between a copyright owner and a publisher.
workshare discount	A discount given to mail owners that do some of the work for the postal service on a mailing.
saddle stitching	Stitching where the wire staples pass through the spine from the outside and are clinched in the center
looseleaf	Binding method allowing insertion and removal of pages in a publication (e.g., trim-4-drill-3).
celestial sphere	An imaginary rotating spherical shell around the Earth and concentric with it.
rtc	"real time control"
digital proof	Color separation data is digitally stored and then exposed to color photographic paper creating a picture of the final product before it is actually printed.
content	Document Content refers to the substance of the material or information within the document that is intended to be communicated.
standard viewing conditions	Colored viewed under a Kelvin lights in a color viewing booth.
noise	In an image, pixels with randomly distributed color values
tell	A mound composed of mud bricks and refuse, accumulated as a result of human activity
clip art	Copyright-free drawings available for purchase for unlimited reproduction
http	Hypertext Transfer Protocol is used to request and transmit files, especially Web pages and Web page components, over the Internet or other computer network.
landscape	Work in which the width used is greater than the height
generation	A first generation image is the original; second generation is made from the original; third generation is made from the second generation
ventral surface	A term that relates to the manufacture of stone tools
dissonance	active unsettled sound
grand opera	19th century French serious opera style which emphasized spectacular visual effects
dot	The smallest individual element of a halftone.
varnish	clear liquid applied to printed surfaces for looks and protection
cutline	also called a caption
adhesive-coated	Paper coated on one side with an adhesive that can be activated by moistening (gummed papers) or by heat (heat sealing), or which is permanently tacky (for presssure-sensitive permanent & removable applications).
portfolio	Collection of best work by an artist, photographer, or designer for showing during meetings with prospective clients.
side stitch	Binding by stapling along one edge of a sheet
spoilage allowance	Extra paper that it is allotted for inevitable waste, and to help ensure that the proper quantity is produced.
geodesic dome	a dome-shaped framework consisting of small, interlocking polygonal units.
program music	instrumental music that purports to tell a story or describe a scene, idea, or event
rondo	ABACA
export	To transfer text or images from a document to another format.
corrected geomagnetic coordinates	A nonspherical coordinate system based on a magnetic dipole axis that is offset from the Earth’s center by about 502 km toward a location in the Pacific Ocean (20.4° N 147.3° E)
ai	Adobe Illustrator's metafile format, which is actually a type of Encapsulated Postscript.
leading edge	Edge of a sheet of paper that enters the press first, also known as the Gripper edge.
motif	A recurring thematic design element in an art style.
kerning	The narrowing of space between two letters so that they become closer and take up less space on the page.
gather	To assemble signatures into the proper sequence for binding.
grind edge	Alternate term for binding edge when referring to perfect bound products.
plate making	The process of creating a printing-plate from an electronic image including: preparation of the plate surface, sensitizing, exposing through the flat, developing or processing, and finishing.
cenotaph	A grave that does not contain a skeleton.
necropolis	Cemetery.
dummy	A term used to describe the preliminary assemblage of copy and art elements to be reproduced in the desired finished product; also called a comp.
coulees	steep sided valleys found along the Upper Mississippi Waterway
absolute dating	Collective term for techniques that assign specific dates or date ranges, in calendar years, to artifacts and other archaeological finds
spine	The binding edge of a book or publication.
manuscript	An author's original form of work (hand written, typed or on disk) submitted for publication.
ionic	Designating or of a Greek style of architecture characterized by ornamental scrolls of the capitals.
millennium	A period of 1000 years.
compactflash	A storage media commonly used in digital cameras, music players, and other devices.
conditioning / condition	Allowing paper to adjust to temperatures and humidity in the printing plant prior to its use, to cure or season paper so it matches the environment of the printing press.
ruby window	Mask on a mechanical, made with rubylith, that creates a window on film shot from the mechanical.
special effects	General term for reproduction of photographs using techniques such as line conversion and posterization.
rosette pattern	The desirable minute circle of dots that is formed when two or more process color screens are overprinted at their appropriate angle, screen ruling and dot shape.
sheetfed press	Press that prints sheets of paper.
padding	Joining of sheets together by applying an adhesion to one side; how notepads are made.
lantern	An upright structure on a roof or dome for letting in light and air or for decoration.
hairline	Very thin line or gap about the width of a hair: 1/100 inch.
linear b	A syllabic script used in Mycenaean Greek documents, chiefly from Crete and Pylos, around the 13th century B.C.E
opacity	A measure of how opaque a paper is
xml	Extensible Markup Language
stops	levers, handles, or buttons that allow an organist to change timbres at will
clef	sign that fixes the tone represented by each line and space on the staff
change order	Written instructions about changes to a job already in progress.
imprinting	To print new copy on a previously printed sheet, such as imprinting an employee’s name on business cards.
imposition	Placement of images or pages in the proper position or sequence so that they will be in the desired location on the final press sheet(s).
psychology	the study of mental processes in living creatures
additive colors	In photographic reproduction, the primary colors of red, green and blue which are mixed to form all other colors.
outsert	Any additional printed piece included in a polybag and mailed with the host publication
macaw	Any of several varieties of parrots from Mexico and Central and South America that were prized for their colorful feathers.
piano	keyboard instrument, also soft in dynamic level
auxology	the study of human growth.
cairo	The Islamic city of Cairo is, oddly enough, one of the newer cities in Egypt, founded in the 7th century AD as a military outpost.
serif type	Any type style that has cross strokes on the ends of the letters.
publish	To produce and sell or otherwise make available printed communication to the public.
desktop publishing	Creating materials to be printed using a personal computer, as opposed to taking non-electronic documents to a commercial printing company to be prepared for printing.
font kerning	The process of fitting adjacent characters together to use space efficiently and to produce attractive lines of text
style	A newspaper's standardized set of rules and guidelines
event driven programs	Programs that are driven by dates, i.e., birthdays, anniversaries, membership dates, etc.
master	To etch pits (tracks) into the Glass Master (acts like a negative) from which a CD-ROM " stamper" is made.
substance weight	Alternate term for basis weight, usually referring to bond papers
interplanetary magnetic field	The magnetic field carried with the solar wind.
bitmap	An image represented by an array of picture elements, each of which is encoded as a single binary digit.
ripple	To make the same change to a number of events
letter spacing	Amount of space between all characters
brightness	Measure of light reflected from paper.
laid finish	A paper with parallel lines with a handmade look.
oblong	A term used to describe printed books, catalogs, etc., that are bound on their shorter side; also referred to as album bound.
fortepiano	early piano named for its range of dynamic levels; it was smaller and less sonorous than the modern instrument
hard dot	Specific to photographs in which a dot has such a small degree of halation the sharpness of the dot increases.
mute	Images with no sound.
glaciology	the study of glaciers
artifact	An artifact (spelled artefact, if you're in the Old World) is an object or remainder of an object, which was created, adapted, or used by human agency.
tabular setting	text set in columns such as timetables.
non-drop frame	A type of SMPTE time code that continuously counts a full 30 frames per second
chicha	A South American beer made from maize.
lion	Lithium ion battery.
css	Cascading style sheet.
qf2	Dual channel uncompressed SDTV Digital Disk Recorder from da Vinci, compatible with 8 and 10 bit, 525, 625 video
amphora	an ancient Greek two-handled vessel for storing grain, honey, oil, or wine.
magnetopause	The boundary surface between the solar wind and the magnetosphere, where the pressure of the Earth's magnetic field effectively equals the dynamic pressure of the solar wind.
potsherds	See
steatite	Soapstone, a variety of talc with a soapy or greasy feel; often used to make containers or carved ornaments.
zooarchaeology	The study of faunal remains found in archaeological sites and their cultural significance.
iso	âInternational Organization for Standardizationâ The ISO number is a measure of the light sensitivity of photographic film, but the term has been carried over to express the light sensitivity of digital sensors too
ntsc	A US video out standard to display images on a TV screen.
declination	(1) The angular distance of an astronomical body north (+) or south (-) of the celestial equator
social hypothesis	The theory that domestication allowed certain individuals to accumulate food surplus and to transform those foods into more valued items, such as rare stones or metals, and even social alliances.
gathered	The printed signatures (folded sheets) assembled next to each other in the proper sequence for binding.
bookbinder	Alternate term for Trade bindery.
chateau gaillard	Chateau Gaillard is a Medieval castle in France built by Richard Lionheart of England from 1197-1198, in order to protect his holdings in Normandy.
slash and burn	A type of farming in which the ground is cleared by cutting and burning the vegetation on the spot
mit’a system	A means of tribute in prehispanic Andean South America that involved the use of conscripted laborers to complete discrete organizational tasks.
url	The address of a Web site.
bite	The etching process in photoengraving requires the application of an acid; the length of time this acid is left to etch out an image is referred to as its bite
template	A complete master, including master pages and style sheets, created to ensure the continuity of design elements throughout a document or series of documents.
market penetration	A measure of marketing effectiveness expressed in terms of the number of customers or revenue a company has in a particular market segment, divided by the total number of companies or possible revenue in that market.
humanism	One of the Renaissance's most important conceptual innovations; helped spur the growth of philosophy literature, and creative intellectual thought
tombstoning	Stacking two headlines side by side so that they collide with each other; also called bumping or butting heads.
laser printer	Device using a laser beam and xerography to reproduce type, graphics and halftone dots.
device independent colors	Hules identified by wavelength or by their place in systems such as developed by CIE
java	A trademark used for a programming language designed to develop applications, especially ones for the Internet, that can operate on different platforms.
blend	A mixture of two colors that fade gradually from one tint to another.
artifact	Any object or item created or modified by human action.
page count	total number of pages that a newsletter has.
open enrollment	Anyone can enroll in a program but the individual must choose to opt into it.
posters	 www.printinghouse.ie term that outlines print material printed on A3 or bigger paper size.
endocrinology	the study of internal secretory glands
blocking	The adhesion of one coated sheet to another, causing paper tears or particles of the coating to shed away from the paper surface.
end sheet	Sheet that attaches the inside pages of a case bound book to its cover
total area coverage	Total of the dot percentages of the process colors in the final film
plage corridor	A low-intensity division in plage coinciding with a polarity inversion line and marked by narrow filament segments and/or fibrils spanning the corridor.
odonatology	the study of dragonflies| and damselflies|
high relief	relief sculpture in which the figures project substantially (e.g., more than half of their natural depth) from the background surface.
multi-channel implementation	Refers to marketing programs that are deployed using more than one media channel.
ecliptic	The great circle made by the intersection of the plane of the Earth’s orbit with the celestial sphere
base color	In a multiple color job where black is not one of the colors, the base color is the color of the majority of the text
media conversion	Alternate term for Data conversion from one digital coding to another.
fold marks	Lines on a printing plate or press sheet indicating where to fold the final product.
pagination	The numbering of individual pages in a multi-page document
psoralea ssp.	The prairie turnip, as it is commonly referred to, is actually several species of plants which grow underground tubers
overrun	The number of pieces that were printed in excess of the quantity specified.
blue notes	flexible tones chosen subjectively from between the half steps of tonal scales
heteroptology	the study of true bugs
satellite anomaly	The usually undesirable response of spacecraft systems to variations in the space environment
offsetting	A print quality problem where wet ink from a freshly printed sheet is transferred to the sheet above or below it in the delivery pile
form bond	Lightweight bond, easy to perforate, made for business forms
boxgrove	The Boxgrove site is a Middle Stone Age site located in a stone quarry in West Sussex England.
cuerdale hoard	The Cuerdale Hoard is an enormous Viking silver treasure of some 8000 silver coins and pieces of bullion weighing nearly 40 kilograms, discovered in Lancaster England in 1840.
press check	When a customer is at the printing press as the press begins to print his or her job, in order to approve the job as it is printed
split inheritance	An Andean practice by which the successor to the throne inherited only the office of the dead ruler; his junior kinsmen received the lands, palace, and personal wealth of the dead ruler.
illuminated manuscript	see manuscript.
oldowan	Name for the earliest stone tool industry, dating from about 2.6 million until 1.5 million years ago
savanna	A savanna, or savannah, is a grassland ecosystem characterized by the trees being sufficiently small or widely spaced so that the canopy does not close
onyx	A translucent quartz with a shiney finish
super high frequency	That portion of the radio frequency spectrum from 3 to 30 GHz.
bi-phase	Electrical pulses from the tachometer of a telecine, used to update the film footage encoder for each new frame of film being transferred.
hairline	Subjective term referring to very small space, thin line or close register.
frequency	A term used to describe the number of times the same advertisement is shown to the same visitor during a particular session or time frame
rosin	a crumbly resin used in making varnishes and lacquers.
pot sherd	a piece of broken pottery.
alloying	A technique of combining or mixing two or more metals to make an entirely new metal; for example, mixing copper and tin creates bronze.
vernal equinox	The equinox that occurs in March
estimate	Also called bid or quote
alphabet length	The measured length (in points) of the lowercase alphabet of a certain size and series of type.
taberna	part of a Roman building fronting on a street and serving as a shop.
head	1) Of a signature, the edge of the page closest to the crosshead
phthalocyanine	The main pigment in the manufacture of cyan ink.
stock photo	Photograph in a collection maintained for commercial purposes.
foreground	the area of a picture, usually at the bottom of the picture plane, that appears nearest to the viewer.
grain	Paper fibers lie in a similar direction in a sheet of paper
toner	1) Powder forming the images in photocopying and laser printing
machine glazed	Paper holding a high-gloss finish only on one side.
cremation	burials that are made from the remains of burned human bones
colorist	1
tabloid	11” x 17” sheet of paper
theoretical foundations	The philosophy of science, the history of anthropological theory, and a survey of contemporary theoretical approaches in anthropology
disk	Used to store computer information: hard disks are the internal memories for computers; floppy disks are small, square, removable cartridges; CDs, also removable, store vast amounts of information.
teratology	the study of wonders, or monsters
conquistador	(Spanish) A conqueror; refers to the Spanish explorers who conquered Mexico in the early 1500s and also ventured into the southern United States.
abydos	Abydos is an Early Dynastic city and necropolis in Egypt, built ca 3150 BC by Seti I and sacred to Osiris.
gpu	"Graphics Processing Unit."-a single-chip processor
jomon	The archaeological culture of late Pleistocene and early Holocene Japan; primarily associated with groups of hunter-gatherers, but recent evidence suggests that these groups were practicing some rice cultivation.
angle of view	The amount of a scene that can be recorded by a particular lens; determined by the focal length of the lens.
bebop	complex, highly improvised style of jazz
curl	Not lying flat and tending to form into cylindrical or wavy shapes
underscore	To run a rule below a line of type.
candelabra	A decorative branched candlestick
static eliminator	Device used to remove static electricity.
cannibalism	The practice of eating human flesh.
baluster	Small turned, square, or flat column that supports a rail; also used to form chair backs.
dialectology	the study of dialects
texture	manner in which melodic lines are used in music
copyfitting	Adjusting copy to the allotted space, by editing the text or changing the type size and leading.
ghosting	Also known as gloss ghosting
torchere	A floor lamp designed to throw light upward
gutter	Space between pages in the printing frame of a book, or inside margin towards the back or binding edge
handedness	Preferential use of the right or the left hand; related to the organization of the brain in two hemispheres.
curation	The long-term, professional management and care of objects, associated records, and reports.
hieroglyphology	Egyptian hieroglyphics, an ancient writing system
perfecting press	A printing press that prints on both sides of the page in a single pass.
fluorescent illumination	Light produced by a tube coated on the inside with a material that glows
pastoralist	An animal herder
italic	Text that is used to denote emphasis by slanting the type body forward (leaning to the right).
airbrush	A function of a color imaging system to add or remove printing ink of any value in a designated picture area.
insert	an instruction to the printer for the inclusion of additional copy.
champa kingdom	The Champa Kingdom was located along the coastal plains of southern and central Vietnam, between about AD 192 and 1832.
ad	Assistant Director
rights	conditions and terms of a licensing agreement between a copyright owner and a publisher.
column rule	Light faced vertical rule used to separate columns of type.
configuration base memory	The default Memory settings of a Configuration File
portrait	an upright image or page where the height is greater than the width.
